model,brand,garage
RX-8,Mazda,Sauber
Altima,Nissan,Sauber
280ZX,Nissan,Sauber
Grand Prix,Pontiac,Sauber
Navigator,Lincoln,Red-Bull
RX Hybrid,Lexus,Red-Bull
Vandura G3500,GMC,Red-Bull
Toronado,Oldsmobile,Red-Bull
SLK-Class,Mercedes-Benz,Red-Bull
Aspen,Chrysler,Red-Bull
Mystique,Mercury,Scuderia Toro Rosso
Maxima,Nissan,Scuderia Toro Rosso
Legacy,Subaru,Scuderia Toro Rosso
Savana 1500,GMC,Scuderia Toro Rosso
5 Series,BMW,Haas
RX-8,Mazda,Haas
Mustang,Ford,Haas
Malibu,Chevrolet,Haas
Topaz,Mercury,Haas
400SE,Mercedes-Benz,Haas
911,Porsche,Haas
RL,Acura,Haas
Grand Vitara,Suzuki,Williams
928,Porsche,Williams
Ram 2500,Dodge,Williams
